Frame 188: P, Time: 7.52s
Frame 189: P, Time: 7.56s
Frame 190: P, Time: 7.60s
Frame 191: P, Time: 7.64s
Frame 192: P, Time: 7.68s
Frame 193: P, Time: 7.72s
Frame 194: P, Time: 7.76s
Frame 195: P, Time: 7.80s
Frame 196: P, Time: 7.84s
Frame 197: P, Time: 7.88s
Frame 198: P, Time: 7.92s
Frame 199: I, Time: 7.96s
Frame 200: P, Time: 8.00s
Frame 201: P, Time: 8.04s
Frame 202: P, Time: 8.08s
Frame 203: P, Time: 8.12s
Frame 204: P, Time: 8.16s
Frame 205: P, Time: 8.20s
Frame 206: P, Time: 8.24s
Frame 207: P, Time: 8.28s
Frame 208: P, Time: 8.32s
Frame 209: P, Time: 8.36s
Frame 210: P, Time: 8.40s
Frame 211: P, Time: 8.44s
Frame 212: P, Time: 8.48s
Frame 213: P, Time: 8.52s
Frame 214: P, Time: 8.56s
Frame 215: P, Time: 8.60s
Frame 216: P, Time: 8.64s
Frame 217: P, Time: 8.68s
Frame 218: P, Time: 8.72s
Frame 219: P, Time: 8.76s
Frame 220: P, Time: 8.80s
Frame 221: P, Time: 8.84s
Frame 222: P, Time: 8.88s
Frame 223: P, Time: 8.92s
Frame 224: P, Time: 8.96s
Frame 225: P, Time: 9.00s
Frame 226: P, Time: 9.04s
Frame 227: P, Time: 9.08s
Frame 228: P, Time: 9.12s
Frame 229: P, Time: 9.16s
Frame 230: P, Time: 9.20s
Frame 231: P, Time: 9.24s
Frame 232: P, Time: 9.28s
Frame 233: P, Time: 9.32s
Frame 234: P, Time: 9.36s
Frame 235: P, Time: 9.40s
Frame 236: P, Time: 9.44s
Frame 237: P, Time: 9.48s
Frame 238: P, Time: 9.52s
Frame 239: P, Time: 9.56s
Frame 240: P, Time: 9.60s
Frame 241: P, Time: 9.64s
Frame 242: P, Time: 9.68s
Frame 243: I, Time: 9.72s
Frame 244: P, Time: 9.76s
Frame 245: P, Time: 9.80s
Frame 246: P, Time: 9.84s
Frame 247: P, Time: 9.88s
Frame 248: P, Time: 9.92s
Frame 249: P, Time: 9.96s
Frame 250: P, Time: 10.00s
Frame 251: P, Time: 10.04s
Frame 252: P, Time: 10.08s
Frame 253: P, Time: 10.12s
Frame 254: P, Time: 10.16s
Frame 255: P, Time: 10.20s
Frame 256: P, Time: 10.24s
Frame 257: P, Time: 10.28s
Frame 258: P, Time: 10.32s
Frame 259: P, Time: 10.36s
Frame 260: P, Time: 10.40s
Frame 261: P, Time: 10.44s
Frame 262: P, Time: 10.48s
Frame 263: P, Time: 10.52s
Frame 264: P, Time: 10.56s
Frame 265: P, Time: 10.60s
Frame 266: P, Time: 10.64s
Frame 267: P, Time: 10.68s
Frame 268: P, Time: 10.72s
Frame 269: P, Time: 10.76s
Frame 270: P, Time: 10.80s
Frame 271: P, Time: 10.84s
Frame 272: P, Time: 10.88s
Frame 273: P, Time: 10.92s
Frame 274: P, Time: 10.96s
Frame 275: P, Time: 11.00s
Frame 276: P, Time: 11.04s
Frame 277: I, Time: 11.08s
Frame 278: P, Time: 11.12s
Frame 279: I, Time: 11.16s
Frame 280: I, Time: 11.20s
Frame 281: I, Time: 11.24s
Frame 282: I, Time: 11.28s
Frame 283: I, Time: 11.32s
Frame 284: I, Time: 11.36s
Frame 285: I, Time: 11.40s
Frame 286: I, Time: 11.44s
Frame 287: I, Time: 11.48s
Frame 288: I, Time: 11.52s
Frame 289: I, Time: 11.56s
Frame 290: I, Time: 11.60s
Frame 291: I, Time: 11.64s
Frame 292: I, Time: 11.68s
Frame 293: I, Time: 11.72s
Frame 294: I, Time: 11.76s
Frame 295: I, Time: 11.80s
Frame 296: I, Time: 11.84s
Frame 297: P, Time: 11.88s
Frame 298: I, Time: 11.92s
Frame 299: I, Time: 11.96s
Frame 300: I, Time: 12.00s
Frame 301: I, Time: 12.04s
Frame 302: I, Time: 12.08s
Frame 303: I, Time: 12.12s
Frame 304: I, Time: 12.16s
Frame 305: I, Time: 12.20s
Frame 306: I, Time: 12.24s
Frame 307: I, Time: 12.28s
Frame 308: I, Time: 12.32s
Frame 309: I, Time: 12.36s
Frame 310: I, Time: 12.40s
Frame 311: I, Time: 12.44s
Frame 312: I, Time: 12.48s
Frame 313: I, Time: 12.52s
Frame 314: I, Time: 12.56s
Frame 315: P, Time: 12.60s
Frame 316: P, Time: 12.64s
Frame 317: P, Time: 12.68s
Frame 318: P, Time: 12.72s
Frame 319: P, Time: 12.76s
Frame 320: P, Time: 12.80s
Frame 321: P, Time: 12.84s
Frame 322: P, Time: 12.88s
Frame 323: P, Time: 12.92s
Frame 324: P, Time: 12.96s
Frame 325: P, Time: 13.00s
Frame 326: P, Time: 13.04s
Frame 327: P, Time: 13.08s
Frame 328: P, Time: 13.12s
Frame 329: P, Time: 13.16s
Frame 330: P, Time: 13.20s
Frame 331: P, Time: 13.24s
Frame 332: P, Time: 13.28s
Frame 333: P, Time: 13.32s
Frame 334: P, Time: 13.36s
Frame 335: P, Time: 13.40s
Frame 336: P, Time: 13.44s
Frame 337: P, Time: 13.48s
Frame 338: P, Time: 13.52s
Frame 339: P, Time: 13.56s
Frame 340: P, Time: 13.60s
Frame 341: P, Time: 13.64s
Frame 342: P, Time: 13.68s
Frame 343: P, Time: 13.72s
Frame 344: P, Time: 13.76s
Frame 345: P, Time: 13.80s
Frame 346: P, Time: 13.84s
Frame 347: P, Time: 13.88s
Frame 348: P, Time: 13.92s
Frame 349: P, Time: 13.96s
Frame 350: P, Time: 14.00s
Frame 351: P, Time: 14.04s
Frame 352: P, Time: 14.08s
Frame 353: P, Time: 14.12s
Frame 354: P, Time: 14.16s
Frame 355: P, Time: 14.20s
Frame 356: P, Time: 14.24s
Frame 357: P, Time: 14.28s
Frame 358: P, Time: 14.32s
Frame 359: P, Time: 14.36s
Frame 360: P, Time: 14.40s
Frame 361: P, Time: 14.44s
Frame 362: P, Time: 14.48s
Frame 363: P, Time: 14.52s
Frame 364: I, Time: 14.56s
Frame 365: P, Time: 14.60s
Frame 366: P, Time: 14.64s
Frame 367: P, Time: 14.68s
Frame 368: P, Time: 14.72s
Frame 369: P, Time: 14.76s
Frame 370: P, Time: 14.80s
Frame 371: P, Time: 14.84s
Frame 372: P, Time: 14.88s
Frame 373: P, Time: 14.92s
Frame 374: P, Time: 14.96s
Frame 375: P, Time: 15.00s
Frame 376: P, Time: 15.04s
Frame 377: P, Time: 15.08s
